"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 17:07:05 IST 2023","Wed Dec 27 17:07:41 IST 2023","35490","Suite9","Test9","cuesz.membersummarytest.advocate.Case20_MS_Fuelnotestest","cuesz.membersummarytest.advocate.Case20_MS_Fuelnotestest","advocatefuelnotesTest","advocatefuelnotesTest","Operating System: Mac OS X (Version: 14.0)"
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case30_MS_Deletenewgoaltest","cuesz.membersummarytest.advocate.Case30_MS_Deletenewgoaltest","advocatdeletegoaltTest","advocatdeletegoaltTest","Verify the delete new goal features functionlaity ."
"skipped","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case29_MS_Editnewgoaltest","cuesz.membersummarytest.advocate.Case29_MS_Editnewgoaltest","advocateeditgoaltTest","advocateeditgoaltTest","Verify the Edit new goal features functionlaity ."
"passed","Wed Dec 27 17:04:59 IST 2023","Wed Dec 27 17:05:14 IST 2023","15099","Suite9","Test9","cuesz.membersummarytest.advocate.Case16_MS_searchclik","cuesz.membersummarytest.advocate.Case16_MS_searchclik","advocatemembersearchTest","advocatemembersearchTest","Operating System: Mac OS X (Version: 14.0)"
"passed","Wed Dec 27 17:01:17 IST 2023","Wed Dec 27 17:03:53 IST 2023","155617","Suite7","Test7","cuesz.logictest.advocate.Case45_MSL_restoretest","cuesz.logictest.advocate.Case45_MSL_restoretest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"skipped","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case23_MS_performactivitytest","cuesz.membersummarytest.advocate.Case23_MS_performactivitytest","advocateperformactivityTest","advocateperformactivityTest","Verify the perform dropdown features functionlaity ."
"skipped","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case26_MS_Fuelactivitytest","cuesz.membersummarytest.advocate.Case26_MS_Fuelactivitytest","advocatefuelactivityTest","advocatefuelactivityTest","Verify the fuel dropdown features functionlaity ."
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case34_MS_VO2Resulttest","cuesz.membersummarytest.advocate.Case34_MS_VO2Resulttest","advocatebodyscanresultTest","advocatebodyscanresultTest","Verify the click on Vo2 Result functionlaity ."
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","5","Suite9","Test9","cuesz.membersummarytest.advocate.Case32_MS_Bodyscanresulttest","cuesz.membersummarytest.advocate.Case32_MS_Bodyscanresulttest","advocatebodyscanresultTest","advocatebodyscanresultTest","Verify the click on Body Scan Result functionlaity ."
"passed","Wed Dec 27 16:45:40 IST 2023","Wed Dec 27 16:46:55 IST 2023","75561","Suite7","Test7","cuesz.logictest.advocate.Case36_MSL_Staffnotestest","cuesz.logictest.advocate.Case36_MSL_Staffnotestest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case81_MS_Sleeptimetest","cuesz.membersummarytest.advocate.Case81_MS_Sleeptimetest","setUp","setUp",""
